classAccount,timestamp,UTC,total,public_public1,public_public2,public_public3,public_public4,secret_secret01,secret_secret02,secret_secret03,secret_secret04,secret_secret05,secret_secret06,secret_secret07,secret_secret08,secret_secret09,secret_secret10,secret_secret11,secret_secret12,secret_secret13,secret_secret14,secret_secret15,secret_secret16,secret_secret17,secret_secret18,secret_secret19,secret_secret20,secret_secret21,secret_secret22,secret_secret23,secret_secret24,secret_secret25,secret_secret26,secret_secret27,secret_secret28,secret_secret29,secret_secret30,secret_secret31
singhn,2012-11-07 14:50:22.0,1352317822000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhn,2012-11-07 14:53:30.0,1352318010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhn,2012-11-07 15:05:39.0,1352318739000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andyb,2012-11-07 15:06:45.0,1352318805000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
nleibolt,2012-11-07 15:18:23.0,1352319503000,63,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khwang,2012-11-07 15:26:47.0,1352320007000,40,0,5,5,0,3,3,3,3,0,0,3,3,3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jdklein,2012-11-07 15:45:09.0,1352321109000,88,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,2,0,2,2,0,0,2,2,0,0
khaile,2012-11-07 15:49:02.0,1352321342000,71,5,5,0,5,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
jrobusto,2012-11-07 16:00:25.0,1352322025000,97,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
jrobusto,2012-11-07 16:10:37.0,1352322637000,97,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
rmonga1,2012-11-07 17:15:29.0,1352326529000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
krutkows,2012-11-07 17:16:39.0,1352326599000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
dcosiem,2012-11-07 17:36:03.0,1352327763000,94,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
pater24,2012-11-07 17:38:20.0,1352327900000,65,5,5,0,5,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
jacbaker,2012-11-07 17:42:14.0,1352328134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dnaval,2012-11-07 17:42:53.0,1352328173000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
khaile,2012-11-07 17:51:52.0,1352328712000,91,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
rushk,2012-11-07 18:32:12.0,1352331132000,13,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rushk,2012-11-07 18:34:19.0,1352331259000,50,5,5,5,5,3,3,3,3,3,0,3,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhn,2012-11-07 18:37:02.0,1352331422000,9,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhn,2012-11-07 18:40:56.0,1352331656000,9,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khogan,2012-11-07 18:44:52.0,1352331892000,79,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,0,0,0,0,2,0,2,0,0,0,0
khaile,2012-11-07 18:58:15.0,1352332695000,91,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
singhn,2012-11-07 18:58:24.0,1352332704000,18,0,0,0,0,3,3,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahayhurs,2012-11-07 19:10:24.0,1352333424000,71,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
kathrynh,2012-11-07 19:23:09.0,1352334189000,25,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kathrynh,2012-11-07 19:25:33.0,1352334333000,59,5,5,5,5,0,0,3,3,3,0,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
tlees,2012-11-07 19:36:10.0,1352334970000,46,5,5,0,0,0,0,3,0,3,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhn,2012-11-07 20:02:11.0,1352336531000,37,5,5,0,0,3,3,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rushk,2012-11-07 20:06:19.0,1352336779000,56,5,5,5,5,3,3,3,3,3,0,3,3,3,3,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ssilberh,2012-11-07 20:17:57.0,1352337477000,71,5,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sdmart3,2012-11-07 20:22:56.0,1352337776000,27,0,0,0,0,3,3,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jchen92,2012-11-07 20:35:34.0,1352338534000,94,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-07 20:36:13.0,1352338573000,46,0,0,0,5,0,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
dfreunde,2012-11-07 20:42:04.0,1352338924000,39,5,5,5,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atran124,2012-11-07 20:58:11.0,1352339891000,97,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
dbouman,2012-11-07 21:13:02.0,1352340782000,63,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0
sdmart3,2012-11-07 21:21:52.0,1352341312000,40,5,5,0,0,3,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ipersons,2012-11-07 21:23:56.0,1352341436000,40,5,5,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alextau,2012-11-07 21:26:20.0,1352341580000,97,5,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
sdmart3,2012-11-07 21:30:15.0,1352341815000,37,5,5,0,0,3,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kbyrdman,2012-11-07 21:35:23.0,1352342123000,88,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
ipersons,2012-11-07 21:37:24.0,1352342244000,40,5,5,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stenborg,2012-11-07 21:45:22.0,1352342722000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sal1992,2012-11-07 21:45:53.0,1352342753000,39,5,5,5,0,0,0,3,3,3,3,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomasw,2012-11-07 21:48:59.0,1352342939000,68,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nleibolt,2012-11-07 21:49:49.0,1352342989000,63,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nleibolt,2012-11-07 21:52:11.0,1352343131000,68,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akapur92,2012-11-07 21:54:01.0,1352343241000,62,5,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dquispe,2012-11-07 21:54:31.0,1352343271000,46,0,0,0,5,0,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
garrettt,2012-11-07 21:55:06.0,1352343306000,54,5,5,5,0,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alextau,2012-11-07 21:55:54.0,1352343354000,97,5,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
pmasigla,2012-11-07 21:56:19.0,1352343379000,65,5,5,0,5,0,0,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,2,2,0,0,0,2,2,0,2,2,2,0,0
alextau,2012-11-07 21:57:45.0,1352343465000,97,5,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
euduka,2012-11-07 21:59:39.0,1352343579000,51,5,5,5,0,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipersons,2012-11-07 21:59:58.0,1352343598000,40,5,5,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
driveros,2012-11-07 22:13:55.0,1352344435000,57,5,5,5,0,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
dquispe,2012-11-07 22:16:52.0,1352344612000,57,5,0,0,5,0,0,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
ipersons,2012-11-07 22:30:09.0,1352345409000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
rmonga1,2012-11-07 22:50:17.0,1352346617000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
jlainn,2012-11-07 23:18:12.0,1352348292000,65,5,5,5,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pater24,2012-11-08 00:11:52.0,1352351512000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tlees,2012-11-08 00:12:33.0,1352351553000,88,5,5,5,5,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
pater24,2012-11-08 00:19:03.0,1352351943000,94,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
pater24,2012-11-08 00:52:55.0,1352353975000,94,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
tlees,2012-11-08 01:28:08.0,1352356088000,94,5,5,5,5,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-08 02:22:34.0,1352359354000,57,5,0,0,5,0,0,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-08 02:33:36.0,1352360016000,57,5,0,0,5,0,0,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-08 02:42:55.0,1352360575000,65,5,5,0,5,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
aac312,2012-11-08 09:29:39.0,1352384979000,44,5,5,5,5,0,0,0,3,3,0,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pater24,2012-11-08 09:51:17.0,1352386277000,97,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
sdmart3,2012-11-08 14:28:28.0,1352402908000,43,5,5,0,0,3,3,3,3,3,0,3,3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jacbaker,2012-11-08 14:57:21.0,1352404641000,49,5,0,5,0,0,0,3,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
skhan126,2012-11-08 15:41:21.0,1352407281000,78,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,2,0,0,0,2,0,0
camccrea,2012-11-08 15:58:23.0,1352408303000,57,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
camccrea,2012-11-08 16:03:03.0,1352408583000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
sdmart3,2012-11-08 18:10:31.0,1352416231000,37,5,5,0,0,3,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdmart3,2012-11-08 18:15:33.0,1352416533000,54,5,5,5,0,3,3,3,3,3,0,3,3,3,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
svarkian,2012-11-08 18:18:22.0,1352416702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdmart3,2012-11-08 18:31:08.0,1352417468000,54,5,5,5,0,3,3,3,3,3,0,3,3,3,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
euduka,2012-11-08 18:32:58.0,1352417578000,56,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacbaker,2012-11-08 18:34:20.0,1352417660000,68,5,5,5,5,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sdmart3,2012-11-08 18:37:12.0,1352417832000,59,5,5,5,5,3,3,3,3,3,0,3,3,3,3,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
svarkian,2012-11-08 19:01:22.0,1352419282000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfreunde,2012-11-08 19:33:51.0,1352421231000,39,5,5,5,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crogan,2012-11-08 19:40:56.0,1352421656000,0,0,0,0
gkrummel,2012-11-08 19:41:04.0,1352421664000,62,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
crogan,2012-11-08 19:45:49.0,1352421949000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
gkempeni,2012-11-08 19:48:16.0,1352422096000,71,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
stenborg,2012-11-08 20:00:03.0,1352422803000,78,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,0,0,0,0,0,0,0,0,2,0,0
dquispe,2012-11-08 20:05:21.0,1352423121000,77,5,5,0,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-08 20:11:50.0,1352423510000,80,5,5,0,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,0,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
dquispe,2012-11-08 20:14:42.0,1352423682000,88,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
jbkim,2012-11-08 20:22:51.0,1352424171000,34,5,5,0,0,3,3,0,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stenborg,2012-11-08 20:59:48.0,1352426388000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
bjonas,2012-11-08 21:00:29.0,1352426429000,45,5,5,5,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svarkian,2012-11-08 21:04:02.0,1352426642000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svarkian,2012-11-08 21:15:15.0,1352427315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsemick,2012-11-08 21:27:42.0,1352428062000,45,5,5,5,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bjonas,2012-11-08 21:32:50.0,1352428370000,50,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmangino,2012-11-08 21:37:16.0,1352428636000,44,5,5,5,5,0,0,3,3,3,0,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
driveros,2012-11-08 21:45:31.0,1352429131000,68,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
bendugal,2012-11-08 21:52:01.0,1352429521000,78,5,5,5,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,0,2,0,2,2,0,0,2,0,0,0
dsemick,2012-11-08 21:52:20.0,1352429540000,45,5,5,5,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dquispe,2012-11-08 21:54:17.0,1352429657000,94,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
achonai,2012-11-08 21:54:19.0,1352429659000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bjonas,2012-11-08 21:56:20.0,1352429780000,45,5,5,5,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dmaywest,2012-11-08 21:57:05.0,1352429825000,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gheysens,2012-11-08 21:59:56.0,1352429996000,50,0,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kathrynh,2012-11-09 19:35:17.0,1352507717000,65,5,5,5,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
chulk90,2012-11-11 07:19:47.0,1352636387000,34,5,5,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chulk90,2012-11-11 07:25:56.0,1352636756000,39,5,5,5,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashivkum,2012-11-12 12:57:49.0,1352743069000,88,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
aac312,2012-11-15 11:41:37.0,1352997697000,45,5,5,5,0,0,3,3,3,3,0,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac312,2012-11-16 09:42:53.0,1353076973000,50,5,5,5,5,0,3,3,3,3,0,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jskoeh9,2012-11-18 16:36:42.0,1353274602000,94,5,5,5,5,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
aac312,2012-11-19 16:01:30.0,1353358890000,50,5,5,5,5,0,3,3,3,3,0,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chadham7,2012-11-30 21:31:48.0,1354329108000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
srandall,2012-12-09 00:09:30.0,1355029770000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
